,G1,G2,G3,G4
LME,28.200685008441592,36.91921767725347,37.807894877670755,39.202388321302465
MERF,32.22630131331299,34.97115500998294,47.260428503824016,42.945755982494376
GPBoost,32.70787283052225,44.09013801755517,52.43051414238001,40.11115648667887
Ensemble,32.22630131331299,34.97115500998294,47.260428503824016,42.945755982494376
