,BB,BF,DL,FDS,GA,TA,TB,VL
LME,32.54866398621758,36.224567966273696,26.74643599823546,41.098895254976654,34.86555813890485,26.25833711764223,38.84575265178264,26.747956832063284
MERF,32.84879672177731,40.18356030895257,29.08597120925603,39.32732129539878,49.40219488460455,32.52594710701473,37.95494052944152,30.3091333069858
GPBoost,33.93615470712756,38.72712594828901,34.956120529213834,47.00633729998921,42.57660751430275,28.13492089656232,41.625523623270276,31.762896150974186
Ensemble,32.84879672177731,40.18356030895257,29.08597120925603,39.32732129539878,49.40219488460455,32.52594710701473,37.95494052944152,30.3091333069858
