,volume_corrected_cm3,volume_corrected_cm3,Age,Age,BMI,BMI,Training_yrs,Training_yrs,Stress_Index_pct,Stress_Index_pct,Sleep_Index_pct,Sleep_Index_pct
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Group,,,,,,,,,,,,
G1,92.52,38.49,24.7,6.73,24.26,3.71,2.27,4.48,41.37,12.4,83.61,10.44
G2,92.07,34.97,28.67,8.69,23.1,0.81,1.92,2.29,37.71,6.26,83.33,4.31
G3,73.82,37.89,31.88,9.46,29.37,2.85,125.43,268.69,26.88,12.99,81.84,8.73
G4,84.7,45.05,26.16,0.37,22.94,2.75,0.0,0.0,50.36,9.63,79.74,15.29
